# OpenNeuro ds003775 v1.2.1, doi:10.18112/openneuro.ds003775.v1.2.1, CC0; git mirror commit cb354b249827d17fa0575b2b42521ba25982c16b
# channel order: Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
recording	subject	session	n_bad	bad_channels
sub-001_ses-t1	sub-001	ses-t1	2	P10,PO8
sub-002_ses-t1	sub-002	ses-t1	4	T7,P9,T8,PO4
sub-002_ses-t2	sub-002	ses-t2	10	T7,TP7,P9,POz,Pz,F4,F6,C4,P2,P10
sub-003_ses-t1	sub-003	ses-t1	30	AF7,F5,F7,FT7,FC5,C5,T7,TP7,CP5,P5,P7,P9,PO7,O1,Iz,AF8,F6,F8,FT8,FC6,C6,T8,TP8,CP6,P2,P6,P8,P10,PO8,O2
sub-003_ses-t2	sub-003	ses-t2	6	F5,TP7,P5,P7,P9,PO7
sub-004_ses-t1	sub-004	ses-t1	0	
sub-005_ses-t1	sub-005	ses-t1	3	FC3,CP3,P9
sub-005_ses-t2	sub-005	ses-t2	3	C3,P9,POz
sub-006_ses-t1	sub-006	ses-t1	7	PO3,Iz,F8,Cz,P2,P4,PO4
sub-007_ses-t1	sub-007	ses-t1	15	AF7,F7,FT7,FC5,C5,T7,P9,Iz,Fpz,AF8,F8,FT8,T8,P10,PO4
sub-007_ses-t2	sub-007	ses-t2	15	Fp1,AF7,T7,CP3,P9,Oz,Fp2,AF8,F8,CP6,P4,P6,P8,P10,O2
sub-008_ses-t1	sub-008	ses-t1	6	Fp1,P9,Oz,Fpz,Fp2,AF8
sub-009_ses-t1	sub-009	ses-t1	16	AF7,FT7,P9,Oz,Fp2,AF8,AF4,F2,F4,F6,F8,FT8,FC2,C6,T8,CP2
sub-010_ses-t1	sub-010	ses-t1	4	AF7,CP1,C6,P8
sub-011_ses-t1	sub-011	ses-t1	7	AF7,FT7,FC5,P9,AF4,P2,P10
sub-011_ses-t2	sub-011	ses-t2	4	FC5,PO3,F6,P10
sub-012_ses-t1	sub-012	ses-t1	1	CP6
sub-013_ses-t1	sub-013	ses-t1	6	F3,FC3,CP5,F4,C4,O2
sub-014_ses-t1	sub-014	ses-t1	22	AF7,P1,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,F2,F4,FC6,C6,TP8,P2,P6,P10,PO8,PO4,O2
sub-015_ses-t1	sub-015	ses-t1	24	AF7,F7,FT7,T7,P5,P9,PO7,PO3,O1,Iz,Oz,POz,Fpz,Fp2,AF8,AF4,F8,TP8,P6,P8,P10,PO8,PO4,O2
sub-016_ses-t1	sub-016	ses-t1	5	FC5,C3,C5,CP5,F2
sub-017_ses-t1	sub-017	ses-t1	21	F7,FT7,FC5,FC1,C1,C3,C5,T7,TP7,CP3,P1,P7,P9,PO7,O1,Iz,Oz,C6,P8,P10,PO4
sub-018_ses-t1	sub-018	ses-t1	16	FC5,C5,T7,CP5,P3,P5,P7,O1,Iz,FT8,T8,TP8,P8,P10,PO8,O2
sub-019_ses-t1	sub-019	ses-t1	3	P9,Iz,P10
sub-020_ses-t1	sub-020	ses-t1	19	T7,TP7,CP5,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,F8,T8,TP8,CP2,P8,P10,O2
sub-020_ses-t2	sub-020	ses-t2	10	FT7,TP7,P9,Pz,TP8,P2,P8,P10,PO8,PO4
sub-021_ses-t1	sub-021	ses-t1	4	P7,Oz,P2,P10
sub-021_ses-t2	sub-021	ses-t2	15	F1,F3,F5,FC5,FC3,CP5,P5,P9,F4,T8,TP8,P2,P8,P10,PO8
sub-022_ses-t1	sub-022	ses-t1	0	
sub-023_ses-t1	sub-023	ses-t1	28	Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC3,FC1,T7,TP7,CP3,P7,P9,PO7,Iz,Oz,AF8,F6,F8,FT8,T8,TP8,P2,P10,PO8,PO4
sub-024_ses-t1	sub-024	ses-t1	6	T7,PO3,P2,P4,P6,PO4
sub-025_ses-t1	sub-025	ses-t1	0	
sub-026_ses-t1	sub-026	ses-t1	0	
sub-026_ses-t2	sub-026	ses-t2	2	TP7,O1
sub-027_ses-t1	sub-027	ses-t1	1	P6
sub-027_ses-t2	sub-027	ses-t2	8	F3,P1,Pz,AF8,FC4,FC2,C2,P2
sub-028_ses-t1	sub-028	ses-t1	14	CP5,Iz,POz,Pz,AF4,F6,F8,FT8,FC6,T8,TP8,P2,P4,PO4
sub-028_ses-t2	sub-028	ses-t2	1	PO7
