s whole twice missed
0.0 0.97341 0.67204 0.02659
0.5 0.97299 0.67068 0.02601
1.0 0.96443 0.63492 0.01511
1.5 0.94337 0.49185 0.00671
2.0 0.92355 0.38165 0.00206
2.5 0.90055 0.2977 0.00043
3.0 0.8686 0.21965 0.0
3.5 0.83534 0.16498 0.0
4.0 0.79646 0.12842 0.0
4.5 0.75363 0.09894 0.0
5.0 0.70548 0.07651 0.0
5.5 0.66474 0.0574 0.0
6.0 0.61094 0.03824 0.0
6.5 0.55468 0.02105 0.0
7.0 0.50515 0.0087 0.0
7.5 0.44127 0.00101 0.0
8.0 0.38285 0.0 0.0
8.5 0.32108 0.0 0.0
9.0 0.2785 0.0 0.0
9.5 0.22664 0.0 0.0
10.0 0.18271 0.0 0.0
10.5 0.14289 0.0 0.0
11.0 0.10959 0.0 0.0
11.5 0.07424 0.0 0.0
12.0 0.04871 0.0 0.0
12.5 0.02864 0.0 0.0
13.0 0.01396 0.0 0.0
13.5 0.00428 0.0 0.0
14.0 0.00261 0.0 0.0
14.5 0.0 0.0 0.0
15.0 0.0 0.0 0.0
