s whole twice missed
0.0 0.99974 0.75544 0.00026
0.5 0.99974 0.75396 0.00026
1.0 0.99974 0.72011 0.00026
1.5 0.99924 0.55862 0.0
2.0 0.99719 0.43221 0.0
2.5 0.9962 0.32015 0.0
3.0 0.9936 0.21398 0.0
3.5 0.99111 0.13411 0.0
4.0 0.98677 0.08352 0.0
4.5 0.98523 0.05422 0.0
5.0 0.98134 0.03515 0.0
5.5 0.97987 0.02124 0.0
6.0 0.97563 0.01227 0.0
6.5 0.97291 0.0044 0.0
7.0 0.97218 0.00194 0.0
7.5 0.96817 0.0 0.0
8.0 0.96581 0.0 0.0
8.5 0.96439 0.0 0.0
9.0 0.96133 0.0 0.0
9.5 0.95753 0.0 0.0
10.0 0.95594 0.0 0.0
10.5 0.95284 0.0 0.0
11.0 0.94887 0.0 0.0
11.5 0.94476 0.0 0.0
12.0 0.94256 0.0 0.0
12.5 0.94198 0.0 0.0
13.0 0.93673 0.0 0.0
13.5 0.93532 0.0 0.0
14.0 0.93364 0.0 0.0
14.5 0.93383 0.0 0.0
15.0 0.93369 0.0 0.0
