s whole twice missed
0.0 0.44885 0.12718 0.55115
0.5 0.44864 0.1268 0.55066
1.0 0.43901 0.11839 0.53575
1.5 0.39747 0.0714 0.47543
2.0 0.36425 0.03413 0.4348
2.5 0.34034 0.01821 0.39295
3.0 0.31135 0.0077 0.34347
3.5 0.27644 0.00308 0.30276
4.0 0.25183 0.00013 0.2667
4.5 0.21458 0.0 0.22529
5.0 0.18546 0.0 0.1892
5.5 0.15481 0.0 0.15774
6.0 0.11936 0.0 0.13487
6.5 0.09361 0.0 0.11577
7.0 0.06498 0.0 0.09932
7.5 0.04398 0.0 0.09108
8.0 0.02968 0.0 0.07943
8.5 0.01776 0.0 0.07106
9.0 0.00875 0.0 0.06441
9.5 0.00372 0.0 0.05713
10.0 0.00134 0.0 0.04967
10.5 0.00028 0.0 0.04299
11.0 0.0 0.0 0.03451
11.5 0.0 0.0 0.02965
12.0 0.0 0.0 0.02209
12.5 0.0 0.0 0.01616
13.0 0.0 0.0 0.01117
13.5 0.0 0.0 0.00647
14.0 0.0 0.0 0.00239
14.5 0.0 0.0 0.0
15.0 0.0 0.0 0.0
