s whole twice missed
0.0 0.5872 0.31199 0.4128
0.5 0.58711 0.31174 0.41206
1.0 0.57716 0.29822 0.39037
1.5 0.53623 0.23775 0.33188
2.0 0.5042 0.19261 0.29402
2.5 0.47493 0.16201 0.25341
3.0 0.44856 0.12657 0.21438
3.5 0.41741 0.0932 0.18044
4.0 0.39234 0.06671 0.14791
4.5 0.36416 0.045 0.11945
5.0 0.33193 0.02778 0.10074
5.5 0.3063 0.01557 0.08378
6.0 0.27353 0.00921 0.07126
6.5 0.24153 0.00397 0.06329
7.0 0.21394 0.00165 0.05552
7.5 0.17451 0.00021 0.04875
8.0 0.14409 0.0 0.04321
8.5 0.11419 0.0 0.03645
9.0 0.08362 0.0 0.03088
9.5 0.05782 0.0 0.02552
10.0 0.04492 0.0 0.01977
10.5 0.0288 0.0 0.01484
11.0 0.01859 0.0 0.01061
11.5 0.00767 0.0 0.00602
12.0 0.00387 0.0 0.0024
12.5 0.00034 0.0 0.00036
13.0 0.0 0.0 0.0
13.5 0.0 0.0 0.0
14.0 0.0 0.0 0.0
14.5 0.0 0.0 0.0
15.0 0.0 0.0 0.0
