s whole twice missed
0.0 1.0 0.78234 0.0
0.5 1.0 0.78094 0.0
1.0 1.0 0.74809 0.0
1.5 1.0 0.59034 0.0
2.0 1.0 0.46521 0.0
2.5 1.0 0.35161 0.0
3.0 1.0 0.24023 0.0
3.5 1.0 0.15233 0.0
4.0 1.0 0.09461 0.0
4.5 1.0 0.06087 0.0
5.0 1.0 0.03592 0.0
5.5 1.0 0.02154 0.0
6.0 1.0 0.01227 0.0
6.5 1.0 0.0044 0.0
7.0 1.0 0.00194 0.0
7.5 1.0 0.0 0.0
8.0 1.0 0.0 0.0
8.5 1.0 0.0 0.0
9.0 1.0 0.0 0.0
9.5 1.0 0.0 0.0
10.0 1.0 0.0 0.0
10.5 1.0 0.0 0.0
11.0 1.0 0.0 0.0
11.5 1.0 0.0 0.0
12.0 1.0 0.0 0.0
12.5 1.0 0.0 0.0
13.0 1.0 0.0 0.0
13.5 1.0 0.0 0.0
14.0 1.0 0.0 0.0
14.5 1.0 0.0 0.0
15.0 1.0 0.0 0.0
