s whole twice missed
0.0 1.0 0.85786 0.0
0.5 1.0 0.85627 0.0
1.0 1.0 0.82886 0.0
1.5 1.0 0.73047 0.0
2.0 1.0 0.63562 0.0
2.5 1.0 0.53352 0.0
3.0 1.0 0.42096 0.0
3.5 1.0 0.30535 0.0
4.0 1.0 0.19499 0.0
4.5 1.0 0.09902 0.0
5.0 1.0 0.0424 0.0
5.5 1.0 0.01318 0.0
6.0 1.0 0.00225 0.0
6.5 1.0 0.0 0.0
7.0 1.0 0.0 0.0
7.5 1.0 0.0 0.0
8.0 1.0 0.0 0.0
8.5 1.0 0.0 0.0
9.0 1.0 0.0 0.0
9.5 1.0 0.0 0.0
10.0 1.0 0.0 0.0
10.5 1.0 0.0 0.0
11.0 1.0 0.0 0.0
11.5 1.0 0.0 0.0
12.0 1.0 0.0 0.0
12.5 1.0 0.0 0.0
13.0 1.0 0.0 0.0
13.5 1.0 0.0 0.0
14.0 1.0 0.0 0.0
14.5 1.0 0.0 0.0
15.0 1.0 0.0 0.0
