s whole twice missed
0.0 0.92819 0.65432 0.0478
0.5 0.92643 0.65214 0.04669
1.0 0.9112 0.59622 0.03394
1.5 0.89923 0.4832 0.02304
2.0 0.88466 0.40967 0.01525
2.5 0.87198 0.32403 0.00732
3.0 0.85174 0.25782 0.00457
3.5 0.83332 0.20204 0.00135
4.0 0.81649 0.16169 0.00015
4.5 0.79381 0.12881 0.0
5.0 0.77331 0.10148 0.0
5.5 0.74816 0.07939 0.0
6.0 0.72182 0.05693 0.0
6.5 0.69833 0.04171 0.0
7.0 0.66471 0.02931 0.0
7.5 0.63533 0.02076 0.0
8.0 0.6038 0.01354 0.0
8.5 0.56999 0.00935 0.0
9.0 0.53916 0.00308 0.0
9.5 0.50551 0.002 0.0
10.0 0.4745 0.0 0.0
10.5 0.44339 0.0 0.0
11.0 0.40778 0.0 0.0
11.5 0.37787 0.0 0.0
12.0 0.3453 0.0 0.0
12.5 0.30766 0.0 0.0
13.0 0.27565 0.0 0.0
13.5 0.23352 0.0 0.0
14.0 0.18976 0.0 0.0
14.5 0.1511 0.0 0.0
15.0 0.11442 0.0 0.0
