s whole twice missed
0.0 1.0 0.64682 0.0
0.5 1.0 0.64407 0.0
1.0 1.0 0.55758 0.0
1.5 1.0 0.39246 0.0
2.0 1.0 0.29612 0.0
2.5 1.0 0.197 0.0
3.0 1.0 0.12536 0.0
3.5 1.0 0.08309 0.0
4.0 1.0 0.05308 0.0
4.5 1.0 0.03486 0.0
5.0 1.0 0.02105 0.0
5.5 1.0 0.0107 0.0
6.0 1.0 0.00467 0.0
6.5 1.0 0.00086 0.0
7.0 1.0 0.0 0.0
7.5 1.0 0.0 0.0
8.0 1.0 0.0 0.0
8.5 1.0 0.0 0.0
9.0 1.0 0.0 0.0
9.5 1.0 0.0 0.0
10.0 1.0 0.0 0.0
10.5 1.0 0.0 0.0
11.0 1.0 0.0 0.0
11.5 1.0 0.0 0.0
12.0 1.0 0.0 0.0
12.5 1.0 0.0 0.0
13.0 1.0 0.0 0.0
13.5 1.0 0.0 0.0
14.0 1.0 0.0 0.0
14.5 1.0 0.0 0.0
15.0 1.0 0.0 0.0
