s whole twice missed
0.0 0.40697 0.07799 0.5093
0.5 0.40593 0.07701 0.50821
1.0 0.38494 0.05978 0.48065
1.5 0.33563 0.0221 0.42466
2.0 0.31337 0.01028 0.3946
2.5 0.28744 0.0037 0.34663
3.0 0.25183 0.00091 0.30796
3.5 0.22447 0.0 0.26539
4.0 0.19583 0.0 0.22942
4.5 0.15875 0.0 0.19177
5.0 0.13389 0.0 0.15998
5.5 0.10265 0.0 0.13312
6.0 0.07352 0.0 0.11011
6.5 0.05288 0.0 0.09471
7.0 0.03365 0.0 0.08317
7.5 0.02284 0.0 0.07241
8.0 0.01138 0.0 0.06462
8.5 0.0058 0.0 0.05814
9.0 0.00311 0.0 0.05004
9.5 0.00067 0.0 0.0443
10.0 0.0 0.0 0.03723
10.5 0.0 0.0 0.03231
11.0 0.0 0.0 0.02531
11.5 0.0 0.0 0.01866
12.0 0.0 0.0 0.01401
12.5 0.0 0.0 0.00929
13.0 0.0 0.0 0.00501
13.5 0.0 0.0 0.00142
14.0 0.0 0.0 0.0
14.5 0.0 0.0 0.0
15.0 0.0 0.0 0.0
