x y seen unseen
0.0000 -0.0000 -0.0000 nan
0.0400 -0.0000 -0.0000 nan
0.0800 -0.0002 -0.0002 nan
0.1200 -0.0004 -0.0004 nan
0.1600 -0.0007 -0.0007 nan
0.2000 -0.0011 -0.0011 nan
0.2400 -0.0015 -0.0015 nan
0.2800 -0.0021 -0.0021 nan
0.3200 -0.0027 -0.0027 nan
0.3600 -0.0034 -0.0034 nan
0.4000 -0.0042 -0.0042 nan
0.4400 -0.0051 -0.0051 nan
0.4800 -0.0060 -0.0060 nan
0.5200 -0.0071 -0.0071 nan
0.5600 -0.0082 -0.0082 nan
0.6000 -0.0094 -0.0094 nan
0.6400 -0.0107 -0.0107 nan
0.6800 -0.0121 -0.0121 nan
0.7200 -0.0136 -0.0136 nan
0.7600 -0.0151 -0.0151 nan
0.8000 -0.0168 -0.0168 nan
0.8400 -0.0185 -0.0185 nan
0.8800 -0.0203 -0.0203 nan
0.9200 -0.0222 -0.0222 nan
0.9600 -0.0241 -0.0241 nan
1.0000 -0.0262 -0.0262 nan
1.0400 -0.0283 -0.0283 nan
1.0800 -0.0305 -0.0305 nan
1.1200 -0.0328 -0.0328 nan
1.1600 -0.0351 -0.0351 nan
1.2000 -0.0376 -0.0376 nan
1.2400 -0.0401 -0.0401 nan
1.2800 -0.0427 -0.0427 nan
1.3200 -0.0454 -0.0454 nan
1.3600 -0.0482 -0.0482 nan
1.4000 -0.0510 -0.0510 nan
1.4400 -0.0539 -0.0539 nan
1.4800 -0.0570 -0.0570 nan
1.5200 -0.0600 -0.0600 nan
1.5600 -0.0632 -0.0632 nan
1.6000 -0.0664 -0.0664 nan
1.6400 -0.0698 -0.0698 nan
1.6800 -0.0732 -0.0732 nan
1.7200 -0.0766 -0.0766 nan
1.7600 -0.0802 -0.0802 nan
1.8000 -0.0838 -0.0838 nan
1.8400 -0.0875 -0.0875 nan
1.8800 -0.0913 -0.0913 nan
1.9200 -0.0952 -0.0952 nan
1.9600 -0.0991 -0.0991 nan
2.0000 -0.1031 -0.1031 nan
2.0400 -0.1072 -0.1072 nan
2.0800 -0.1113 -0.1113 nan
2.1200 -0.1156 -0.1156 nan
2.1600 -0.1199 -0.1199 nan
2.2000 -0.1242 -0.1242 nan
2.2400 -0.1287 -0.1287 nan
2.2800 -0.1332 -0.1332 nan
2.3200 -0.1378 -0.1378 nan
2.3600 -0.1424 -0.1424 nan
2.4000 -0.1472 -0.1472 nan
2.4400 -0.1520 -0.1520 nan
2.4800 -0.1569 -0.1569 nan
2.5200 -0.1618 -0.1618 nan
2.5600 -0.1668 -0.1668 nan
2.6000 -0.1719 -0.1719 nan
2.6400 -0.1770 -0.1770 nan
2.6800 -0.1823 -0.1823 nan
2.7200 -0.1875 -0.1875 nan
2.7600 -0.1929 -0.1929 nan
2.8000 -0.1983 -0.1983 nan
2.8400 -0.2038 -0.2038 nan
2.8800 -0.2093 -0.2093 nan
2.9200 -0.2149 -0.2149 nan
2.9600 -0.2206 -0.2206 nan
3.0000 -0.2263 -0.2263 nan
3.0400 -0.2321 -0.2321 nan
3.0800 -0.2380 -0.2380 nan
3.1200 -0.2439 -0.2439 nan
3.1600 -0.2499 -0.2499 nan
3.2000 -0.2560 -0.2560 nan
3.2400 -0.2621 -0.2621 nan
3.2800 -0.2682 -0.2682 nan
3.3200 -0.2745 -0.2745 nan
3.3600 -0.2807 -0.2807 nan
3.4000 -0.2871 -0.2871 nan
3.4400 -0.2935 -0.2935 nan
3.4800 -0.2999 -0.2999 nan
3.5200 -0.3065 -0.3065 nan
3.5600 -0.3130 -0.3130 nan
3.6000 -0.3196 -0.3196 nan
3.6400 -0.3263 -0.3263 nan
3.6800 -0.3331 -0.3331 nan
3.7200 -0.3398 -0.3398 nan
3.7600 -0.3467 -0.3467 nan
3.8000 -0.3536 -0.3536 nan
3.8400 -0.3605 -0.3605 nan
3.8800 -0.3675 -0.3675 nan
3.9200 -0.3745 -0.3745 nan
3.9600 -0.3816 -0.3816 nan
4.0000 -0.3887 -0.3887 nan
4.0400 -0.3959 -0.3959 nan
4.0800 -0.4032 -0.4032 nan
4.1200 -0.4104 -0.4104 nan
4.1600 -0.4178 -0.4178 nan
4.2000 -0.4251 -0.4251 nan
4.2400 -0.4325 -0.4325 nan
4.2800 -0.4400 -0.4400 nan
4.3200 -0.4475 -0.4475 nan
4.3600 -0.4550 -0.4550 nan
4.4000 -0.4626 -0.4626 nan
4.4400 -0.4702 -0.4702 nan
4.4800 -0.4779 -0.4779 nan
4.5200 -0.4856 -0.4856 nan
4.5600 -0.4934 -0.4934 nan
4.6000 -0.5011 -0.5011 nan
4.6400 -0.5090 -0.5090 nan
4.6800 -0.5168 -0.5168 nan
4.7200 -0.5247 -0.5247 nan
4.7600 -0.5326 -0.5326 nan
4.8000 -0.5406 -0.5406 nan
4.8400 -0.5486 -0.5486 nan
4.8800 -0.5566 -0.5566 nan
4.9200 -0.5647 -0.5647 nan
4.9600 -0.5727 -0.5727 nan
5.0000 -0.5809 -0.5809 nan
5.0400 -0.5890 -0.5890 nan
5.0800 -0.5972 -0.5972 nan
5.1200 -0.6054 -0.6054 nan
5.1600 -0.6136 -0.6136 nan
5.2000 -0.6219 -0.6219 nan
5.2400 -0.6302 -0.6302 nan
5.2800 -0.6385 -0.6385 nan
5.3200 -0.6468 -0.6468 nan
5.3600 -0.6552 -0.6552 nan
5.4000 -0.6636 -0.6636 nan
5.4400 -0.6720 -0.6720 nan
5.4800 -0.6804 -0.6804 nan
5.5200 -0.6889 -0.6889 nan
5.5600 -0.6973 -0.6973 nan
5.6000 -0.7058 -0.7058 nan
5.6400 -0.7143 -0.7143 nan
5.6800 -0.7228 -0.7228 nan
5.7200 -0.7314 -0.7314 nan
5.7600 -0.7399 -0.7399 nan
5.8000 -0.7485 -0.7485 nan
5.8400 -0.7571 -0.7571 nan
5.8800 -0.7657 -0.7657 nan
5.9200 -0.7743 -0.7743 nan
5.9600 -0.7829 -0.7829 nan
6.0000 -0.7915 -0.7915 nan
6.0400 -0.8002 -0.8002 nan
6.0800 -0.8088 -0.8088 nan
6.1200 -0.8175 -0.8175 nan
6.1600 -0.8262 -0.8262 nan
6.2000 -0.8348 -0.8348 nan
6.2400 -0.8435 -0.8435 nan
6.2800 -0.8522 -0.8522 nan
6.3200 -0.8609 -0.8609 nan
6.3600 -0.8696 -0.8696 nan
6.4000 -0.8783 -0.8783 nan
6.4400 -0.8870 -0.8870 nan
6.4800 -0.8957 -0.8957 nan
6.5200 -0.9044 -0.9044 nan
6.5600 -0.9131 -0.9131 nan
6.6000 -0.9218 -0.9218 nan
6.6400 -0.9305 -0.9305 nan
6.6800 -0.9392 -0.9392 nan
6.7200 -0.9479 -0.9479 nan
6.7600 -0.9566 -0.9566 nan
6.8000 -0.9652 -0.9652 nan
6.8400 -0.9739 -0.9739 nan
6.8800 -0.9826 -0.9826 nan
6.9200 -0.9912 -0.9912 nan
6.9600 -0.9999 -0.9999 nan
7.0000 -1.0085 -1.0085 nan
7.0400 -1.0172 -1.0172 nan
7.0800 -1.0258 -1.0258 nan
7.1200 -1.0344 -1.0344 nan
